symbol,timeframe,strategy,trades,risk_of_ruin,prob_profitable,median_return,p5_return,p95_return,median_max_dd,prob_dd_gt_20,prob_dd_gt_30,eq_p5,eq_median,eq_p95
BTCUSD,M1,trend_pullback,68907,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
BTCUSD,M1,break_retest,145414,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
BTCUSD,M1,inside_bar,29401,94.52,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
BTCUSD,M5,trend_pullback,6450,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
BTCUSD,M5,break_retest,25701,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
BTCUSD,M5,inside_bar,4358,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
BTCUSD,M15,trend_pullback,521,0.0,0.0,-99.59,-99.79,-99.23,99.6,100.0,100.0,21.01,40.55,76.61
BTCUSD,M15,break_retest,7941,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
BTCUSD,M15,inside_bar,1428,0.0,0.0,-99.98,-99.99,-99.93,99.98,100.0,100.0,0.51,1.85,6.6
BTCUSD,H1,break_retest,2017,0.0,0.1,-90.91,-97.66,-66.43,92.96,100.0,100.0,233.87,909.44,3356.68
BTCUSD,H1,inside_bar,349,0.0,0.1,-67.74,-81.36,-43.2,70.37,100.0,99.8,1864.39,3226.2,5679.7
BTCUSD,H4,break_retest,563,0.0,91.6,81.53,-11.64,273.43,26.82,85.1,35.6,8836.34,18152.7,37343.06
BTCUSD,H4,inside_bar,105,0.0,39.1,-4.74,-29.6,29.15,19.36,46.5,11.5,7040.03,9525.57,12914.55
BTCUSD,D1,break_retest,99,0.0,0.2,-35.94,-49.3,-18.55,38.29,97.9,84.0,5070.23,6405.52,8144.71
XAUUSD,M1,trend_pullback,17625,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
XAUUSD,M1,break_retest,109540,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
XAUUSD,M1,inside_bar,17296,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
XAUUSD,M5,trend_pullback,9260,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
XAUUSD,M5,break_retest,18808,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
XAUUSD,M5,inside_bar,2773,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
XAUUSD,M15,trend_pullback,3351,0.0,0.0,-99.97,-99.99,-99.9,99.98,100.0,100.0,0.61,2.53,10.45
XAUUSD,M15,break_retest,6032,0.0,0.0,-100.0,-100.0,-99.99,100.0,100.0,100.0,0.01,0.09,0.79
XAUUSD,M15,inside_bar,959,0.0,0.0,-98.23,-99.33,-95.19,98.35,100.0,100.0,67.35,177.41,480.78
XAUUSD,H1,trend_pullback,126,0.0,48.9,-0.34,-24.31,31.77,16.65,32.3,5.7,7568.88,9966.25,13176.93
XAUUSD,H1,break_retest,1765,0.0,6.1,-69.34,-90.7,10.71,79.17,100.0,99.9,930.28,3065.79,11070.89
XAUUSD,H1,inside_bar,315,0.0,54.6,3.79,-38.59,78.69,28.83,84.3,45.4,6140.8,10379.43,17869.45
XAUUSD,H4,break_retest,504,0.0,97.5,117.36,12.59,327.61,22.48,65.6,17.3,11259.08,21736.12,42761.37
XAUUSD,H4,inside_bar,129,0.0,99.5,75.94,23.09,152.54,10.08,1.9,0.0,12308.86,17593.72,25254.2
XAUUSD,D1,break_retest,100,0.0,52.8,1.04,-20.79,32.23,15.0,23.4,2.5,7920.67,10103.78,13222.59
EURUSD,M1,trend_pullback,2859,0.0,0.0,-99.26,-99.78,-97.41,99.34,100.0,100.0,21.61,74.13,258.53
EURUSD,M1,break_retest,117624,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
EURUSD,M1,inside_bar,24816,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.0,0.0,0.0
EURUSD,M5,trend_pullback,3928,0.0,0.0,-98.87,-99.73,-95.39,99.04,100.0,100.0,26.53,112.68,461.16
EURUSD,M5,break_retest,20436,0.0,0.0,-100.0,-100.0,-99.99,100.0,100.0,100.0,0.02,0.16,1.46
EURUSD,M5,inside_bar,3184,0.0,0.0,-100.0,-100.0,-100.0,100.0,100.0,100.0,0.01,0.07,0.49
EURUSD,M15,trend_pullback,2967,0.0,2.6,-79.41,-94.59,-23.07,85.27,100.0,100.0,541.42,2058.97,7692.6
EURUSD,M15,break_retest,6445,0.0,0.0,-99.02,-99.89,-92.35,99.29,100.0,100.0,11.29,97.89,765.26
EURUSD,M15,inside_bar,979,0.0,0.0,-88.82,-95.42,-72.61,90.07,100.0,100.0,458.0,1118.27,2739.44
EURUSD,H1,trend_pullback,897,0.0,97.3,127.07,11.02,365.24,24.98,78.6,27.1,11101.82,22707.27,46523.54
EURUSD,H1,break_retest,1813,0.0,48.4,-2.98,-71.19,234.54,58.03,100.0,99.5,2881.16,9702.17,33453.54
EURUSD,H1,inside_bar,268,0.0,79.9,27.23,-20.3,106.4,21.57,58.7,17.1,7969.79,12723.09,20640.19
EURUSD,H4,break_retest,512,0.0,99.8,220.31,60.08,541.9,19.6,46.8,7.1,16008.04,32031.04,64190.08
EURUSD,H4,inside_bar,119,0.0,92.4,34.24,-2.64,91.61,12.19,8.2,0.6,9736.22,13423.64,19161.01
EURUSD,D1,break_retest,101,0.0,95.2,36.05,0.57,86.27,10.08,3.1,0.1,10056.92,13604.8,18627.12
